epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6903.9,0.72936,0.62299,1.08137,0.87819,0.74678,0.85346,0.69462,0.67926,0.59966,1.01081,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7061.39,0.72209,0.62033,1.08006,0.85704,0.76009,0.85329,0.69405,0.67704,0.60237,1.00555,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7218.54,0.72211,0.61736,1.07388,0.85518,0.75365,0.85797,0.69709,0.6782,0.59584,1.00434,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7382.49,0.71845,0.6022,1.07042,0.84906,0.77322,0.86261,0.70301,0.6697,0.5842,0.99563,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7550.32,0.72241,0.60536,1.07213,0.86199,0.76439,0.85959,0.7016,0.66886,0.58063,0.99917,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7719.81,0.7134,0.59267,1.07155,0.86794,0.75322,0.85867,0.70536,0.66401,0.58171,0.99811,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7887.29,0.70868,0.58994,1.06638,0.87635,0.75644,0.86138,0.70806,0.65981,0.57501,0.99125,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8056.02,0.7144,0.59982,1.0711,0.88098,0.74141,0.86001,0.70564,0.66372,0.57861,0.99716,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8223.22,0.70021,0.58744,1.06187,0.87459,0.75666,0.86564,0.70872,0.66333,0.57637,0.98827,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8391.52,0.69657,0.57842,1.0609,0.86736,0.75881,0.86367,0.70774,0.66345,0.56943,0.99452,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8560.77,0.69567,0.57555,1.05671,0.86464,0.76353,0.86266,0.70757,0.65906,0.57442,0.99166,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
